day,time,origin_place,destination_place,mode,score,source_file
8/10/2025,10:00,Benaroya Hall,International District/Chinatown Station - light rail station,walking,1416.5,scored_routes_all_f1_output.csv
8/10/2025,10:00,Cal Anderson Park,Seattle Aquarium,bicycling,1981.0,scored_routes_all_f1_output.csv
8/10/2025,10:00,Cal Anderson Park,Waterfall Garden,bicycling,1967.5,scored_routes_all_f1_output.csv
8/10/2025,10:00,Chihuly Garden and Glass,Benaroya Hall,bicycling,1732.6,scored_routes_all_f1_output.csv
8/10/2025,10:00,Pike Place Market,Cal Anderson Park,walking,2130.2,scored_routes_all_f1_output.csv
8/10/2025,10:00,Seattle Art Museum,Stadium Station - light rail station,bicycling,1795.6,scored_routes_all_f1_output.csv
8/10/2025,10:00,Seattle Art Museum,The Westin Seattle,walking,1004.3,scored_routes_all_f1_output.csv
8/10/2025,10:00,Space Needle,Benaroya Hall,bicycling,1747.0,scored_routes_all_f1_output.csv
8/10/2025,10:00,Space Needle,Westlake Park,walking,1507.4,scored_routes_all_f1_output.csv
8/10/2025,10:00,The Westin Seattle,International Fountain,walking,1634.3,scored_routes_all_f1_output.csv
8/10/2025,10:00,Westlake Park,International District/Chinatown Station - light rail station,transit,1565.558,scored_routes_all_f1_output.csv
8/10/2025,10:00,Westlake Park,Seattle Ferry Terminal,walking,1339.1,scored_routes_all_f1_output.csv
8/10/2025,10:00,Westlake Park,Smith Tower,walking,1287.8000000000002,scored_routes_all_f1_output.csv
8/10/2025,10:00,Westlake Park,T-Mobile Park,bicycling,1846.9,scored_routes_all_f1_output.csv
8/10/2025,11:00,Benaroya Hall,International District/Chinatown Station - light rail station,walking,1416.5,scored_routes_all_f1_output.csv
8/10/2025,11:00,Cal Anderson Park,Seattle Aquarium,bicycling,1981.0,scored_routes_all_f1_output.csv
8/10/2025,11:00,Cal Anderson Park,Waterfall Garden,bicycling,1967.5,scored_routes_all_f1_output.csv
8/10/2025,11:00,Chihuly Garden and Glass,Benaroya Hall,bicycling,1732.6,scored_routes_all_f1_output.csv
8/10/2025,11:00,Pike Place Market,Cal Anderson Park,walking,2130.2,scored_routes_all_f1_output.csv
8/10/2025,11:00,Seattle Art Museum,Stadium Station - light rail station,bicycling,1795.6,scored_routes_all_f1_output.csv
8/10/2025,11:00,Seattle Art Museum,The Westin Seattle,walking,1004.3,scored_routes_all_f1_output.csv
8/10/2025,11:00,Space Needle,Benaroya Hall,bicycling,1747.0,scored_routes_all_f1_output.csv
8/10/2025,11:00,Space Needle,Westlake Park,walking,1507.4,scored_routes_all_f1_output.csv
8/10/2025,11:00,The Westin Seattle,International Fountain,walking,1634.3,scored_routes_all_f1_output.csv
8/10/2025,11:00,Westlake Park,International District/Chinatown Station - light rail station,walking,1610.0,scored_routes_all_f1_output.csv
