dataset,origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,departure_time,duration_sec,distance_m
train,Historic Chinatown Gate,47.59843717,-122.3273775,Pike Place Market,47.60939849,-122.3418399,driving,1749580510,554,2261
train,Historic Chinatown Gate,47.59843717,-122.3273775,Pike Place Market,47.60939849,-122.3418399,bicycling,1749580510,707,2159
train,Historic Chinatown Gate,47.59843717,-122.3273775,Pike Place Market,47.60939849,-122.3418399,transit,1749580510,835,2479
train,Historic Chinatown Gate,47.59843717,-122.3273775,Pike Place Market,47.60939849,-122.3418399,walking,1749580510,1678,1877
train,International Fountain,47.62250232,-122.3520859,KidsQuest Children's Museum,47.62082747,-122.1959473,driving,1749580510,1115,16219
train,International Fountain,47.62250232,-122.3520859,KidsQuest Children's Museum,47.62082747,-122.1959473,bicycling,1749580510,4439,20286
train,International Fountain,47.62250232,-122.3520859,KidsQuest Children's Museum,47.62082747,-122.1959473,transit,1749580510,4005,18678
train,International Fountain,47.62250232,-122.3520859,KidsQuest Children's Museum,47.62082747,-122.1959473,walking,1749580510,13759,16293
train,Jimi Hendrix Statue,47.61550301,-122.3207151,Wilburton Station - light rail station,47.61794064,-122.1837801,driving,1749580510,1118,17763
train,Jimi Hendrix Statue,47.61550301,-122.3207151,Wilburton Station - light rail station,47.61794064,-122.1837801,bicycling,1749580510,3774,18293
train,Jimi Hendrix Statue,47.61550301,-122.3207151,Wilburton Station - light rail station,47.61794064,-122.1837801,transit,1749580510,3311,20875
train,Jimi Hendrix Statue,47.61550301,-122.3207151,Wilburton Station - light rail station,47.61794064,-122.1837801,walking,1749580510,13095,15622
train,Seattle Chinese Garden,47.5517664,-122.352496,Symphony Station - light rail station,47.60779626,-122.3360496,driving,1749580510,1044,9550
train,Seattle Chinese Garden,47.5517664,-122.352496,Symphony Station - light rail station,47.60779626,-122.3360496,bicycling,1749580510,2129,8556
train,Seattle Chinese Garden,47.5517664,-122.352496,Symphony Station - light rail station,47.60779626,-122.3360496,transit,1749580510,1524,9542
train,Seattle Chinese Garden,47.5517664,-122.352496,Symphony Station - light rail station,47.60779626,-122.3360496,walking,1749580510,7248,8711
train,Mercerdale Park,47.58102303,-122.2349369,International Fountain,47.62250232,-122.3520859,driving,1749580510,1063,13377
train,Mercerdale Park,47.58102303,-122.2349369,International Fountain,47.62250232,-122.3520859,bicycling,1749580510,3274,12547
train,Mercerdale Park,47.58102303,-122.2349369,International Fountain,47.62250232,-122.3520859,transit,1749580510,3233,12946
train,Mercerdale Park,47.58102303,-122.2349369,International Fountain,47.62250232,-122.3520859,walking,1749580510,10267,12203
train,Waterfall Garden,47.60022526,-122.3320583,Symphony Station - light rail station,47.60779626,-122.3360496,driving,1749580510,336,1161
train,Waterfall Garden,47.60022526,-122.3320583,Symphony Station - light rail station,47.60779626,-122.3360496,bicycling,1749580510,502,1088
train,Waterfall Garden,47.60022526,-122.3320583,Symphony Station - light rail station,47.60779626,-122.3360496,transit,1749580510,603,1232
train,Waterfall Garden,47.60022526,-122.3320583,Symphony Station - light rail station,47.60779626,-122.3360496,walking,1749580510,977,1010
train,Hamilton Viewpoint Park,47.59327621,-122.3860307,Lumen Field,47.59505088,-122.3316719,driving,1749580510,755,9442
train,Hamilton Viewpoint Park,47.59327621,-122.3860307,Lumen Field,47.59505088,-122.3316719,bicycling,1749580510,1977,8721
train,Hamilton Viewpoint Park,47.59327621,-122.3860307,Lumen Field,47.59505088,-122.3316719,transit,1749580510,3383,12696
train,Hamilton Viewpoint Park,47.59327621,-122.3860307,Lumen Field,47.59505088,-122.3316719,walking,1749580510,2761,6024
train,SeaTac/Airport Station - light rail station,47.44534853,-122.2968968,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,driving,1749580510,1040,22449
train,SeaTac/Airport Station - light rail station,47.44534853,-122.2968968,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,bicycling,1749580510,4798,23718
train,SeaTac/Airport Station - light rail station,47.44534853,-122.2968968,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,transit,1749580510,2338,23470
train,SeaTac/Airport Station - light rail station,47.44534853,-122.2968968,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,walking,1749580510,17086,20527
train,Historic Chinatown Gate,47.59843717,-122.3273775,Roosevelt Station - light rail station,47.67608555,-122.3160051,driving,1749580510,820,9873
train,Historic Chinatown Gate,47.59843717,-122.3273775,Roosevelt Station - light rail station,47.67608555,-122.3160051,bicycling,1749580510,2574,9744
train,Historic Chinatown Gate,47.59843717,-122.3273775,Roosevelt Station - light rail station,47.67608555,-122.3160051,transit,1749580510,1208,10955
train,Historic Chinatown Gate,47.59843717,-122.3273775,Roosevelt Station - light rail station,47.67608555,-122.3160051,walking,1749580510,8223,9497
train,Tacoma General Station - light rail station,47.26006747,-122.4535547,Klondike Gold Rush National Historical Park,47.59929372,-122.3317776,driving,1749580510,2475,56304
train,Tacoma General Station - light rail station,47.26006747,-122.4535547,Klondike Gold Rush National Historical Park,47.59929372,-122.3317776,bicycling,1749580510,13846,68957
train,Tacoma General Station - light rail station,47.26006747,-122.4535547,Klondike Gold Rush National Historical Park,47.59929372,-122.3317776,transit,1749580510,4796,55425
train,Tacoma General Station - light rail station,47.26006747,-122.4535547,Klondike Gold Rush National Historical Park,47.59929372,-122.3317776,walking,1749580510,36898,50252
train,"University of Washington Station
- light rail station",47.65027972,-122.3037441,Shoreline South/148th Station - Light rail station,47.73609124,-122.3252436,driving,1749580510,757,13096
train,"University of Washington Station
- light rail station",47.65027972,-122.3037441,Shoreline South/148th Station - Light rail station,47.73609124,-122.3252436,bicycling,1749580510,3097,11423
train,"University of Washington Station
- light rail station",47.65027972,-122.3037441,Shoreline South/148th Station - Light rail station,47.73609124,-122.3252436,transit,1749580510,911,10501
train,"University of Washington Station
- light rail station",47.65027972,-122.3037441,Shoreline South/148th Station - Light rail station,47.73609124,-122.3252436,walking,1749580510,9402,10738
train,Kent Station  - train station,47.38456169,-122.232946,Lumen Field,47.59505088,-122.3316719,driving,1749580510,1573,31410
train,Kent Station  - train station,47.38456169,-122.232946,Lumen Field,47.59505088,-122.3316719,bicycling,1749580510,6463,34020
train,Kent Station  - train station,47.38456169,-122.232946,Lumen Field,47.59505088,-122.3316719,transit,1749580510,4063,31613
train,Kent Station  - train station,47.38456169,-122.232946,Lumen Field,47.59505088,-122.3316719,walking,1749580510,22828,27842
train,Alki Beach Park,47.58018302,-122.4084949,T-Mobile Park,47.59146257,-122.3326463,driving,1749580510,888,10520
train,Alki Beach Park,47.58018302,-122.4084949,T-Mobile Park,47.59146257,-122.3326463,bicycling,1749580510,2445,10774
train,Alki Beach Park,47.58018302,-122.4084949,T-Mobile Park,47.59146257,-122.3326463,transit,1749580510,3107,12676
train,Alki Beach Park,47.58018302,-122.4084949,T-Mobile Park,47.59146257,-122.3326463,walking,1749580510,4417,8077
