origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,duration_sec,distance_m
Space Needle,47.620475865973454,-122.34922662355608,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving,6,10
Space Needle,47.620475865973454,-122.34922662355608,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking,101,124
Space Needle,47.620475865973454,-122.34922662355608,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling,26,124
Space Needle,47.620475865973454,-122.34922662355608,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit,101,124
Space Needle,47.620475865973454,-122.34922662355608,Seattle Aquarium,47.60738161055215,-122.34296367108706,driving,458,1952
Space Needle,47.620475865973454,-122.34922662355608,Seattle Aquarium,47.60738161055215,-122.34296367108706,walking,1579,1901
Space Needle,47.620475865973454,-122.34922662355608,Seattle Aquarium,47.60738161055215,-122.34296367108706,bicycling,581,2108
Space Needle,47.620475865973454,-122.34922662355608,Seattle Aquarium,47.60738161055215,-122.34296367108706,transit,1271,2430
Space Needle,47.620475865973454,-122.34922662355608,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving,255,830
Space Needle,47.620475865973454,-122.34922662355608,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking,688,827
Space Needle,47.620475865973454,-122.34922662355608,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling,403,832
Space Needle,47.620475865973454,-122.34922662355608,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit,688,827
Space Needle,47.620475865973454,-122.34922662355608,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving,247,682
Space Needle,47.620475865973454,-122.34922662355608,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking,186,253
Space Needle,47.620475865973454,-122.34922662355608,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling,38,242
Space Needle,47.620475865973454,-122.34922662355608,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit,186,253
Space Needle,47.620475865973454,-122.34922662355608,Discovery Park,47.66122637312634,-122.41720530872853,driving,1052,8985
Space Needle,47.620475865973454,-122.34922662355608,Discovery Park,47.66122637312634,-122.41720530872853,walking,7328,8561
Space Needle,47.620475865973454,-122.34922662355608,Discovery Park,47.66122637312634,-122.41720530872853,bicycling,2170,9516
Space Needle,47.620475865973454,-122.34922662355608,Discovery Park,47.66122637312634,-122.41720530872853,transit,2673,10078
Space Needle,47.620475865973454,-122.34922662355608,Pike Place Market,47.60939849082073,-122.3418399195103,driving,481,1784
Space Needle,47.620475865973454,-122.34922662355608,Pike Place Market,47.60939849082073,-122.3418399195103,walking,1520,1778
Space Needle,47.620475865973454,-122.34922662355608,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling,536,1931
Space Needle,47.620475865973454,-122.34922662355608,Pike Place Market,47.60939849082073,-122.3418399195103,transit,846,1847
Space Needle,47.620475865973454,-122.34922662355608,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,driving,483,2092
Space Needle,47.620475865973454,-122.34922662355608,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,walking,2048,2468
Space Needle,47.620475865973454,-122.34922662355608,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,bicycling,809,2676
Space Needle,47.620475865973454,-122.34922662355608,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,transit,1607,3072
Space Needle,47.620475865973454,-122.34922662355608,Fremont Troll,47.65105594466806,-122.3475007419148,driving,476,4413
Space Needle,47.620475865973454,-122.34922662355608,Fremont Troll,47.65105594466806,-122.3475007419148,walking,3307,3909
Space Needle,47.620475865973454,-122.34922662355608,Fremont Troll,47.65105594466806,-122.3475007419148,bicycling,1063,4514
Space Needle,47.620475865973454,-122.34922662355608,Fremont Troll,47.65105594466806,-122.3475007419148,transit,975,4339
Space Needle,47.620475865973454,-122.34922662355608,Seattle Art Museum,47.60751482550527,-122.3379600261628,driving,466,1942
Space Needle,47.620475865973454,-122.34922662355608,Seattle Art Museum,47.60751482550527,-122.3379600261628,walking,1631,1969
Space Needle,47.620475865973454,-122.34922662355608,Seattle Art Museum,47.60751482550527,-122.3379600261628,bicycling,554,2026
Space Needle,47.620475865973454,-122.34922662355608,Seattle Art Museum,47.60751482550527,-122.3379600261628,transit,880,2113
Space Needle,47.620475865973454,-122.34922662355608,Waterfront Park,47.60703330685766,-122.3418278669016,driving,476,2051
Space Needle,47.620475865973454,-122.34922662355608,Waterfront Park,47.60703330685766,-122.3418278669016,walking,1635,1967
Space Needle,47.620475865973454,-122.34922662355608,Waterfront Park,47.60703330685766,-122.3418278669016,bicycling,593,2175
Space Needle,47.620475865973454,-122.34922662355608,Waterfront Park,47.60703330685766,-122.3418278669016,transit,1502,2985
Space Needle,47.620475865973454,-122.34922662355608,Kerry Park,47.62947041105963,-122.35993432806126,driving,492,2147
Space Needle,47.620475865973454,-122.34922662355608,Kerry Park,47.62947041105963,-122.35993432806126,walking,1700,1815
Space Needle,47.620475865973454,-122.34922662355608,Kerry Park,47.62947041105963,-122.35993432806126,bicycling,796,2306
Space Needle,47.620475865973454,-122.34922662355608,Kerry Park,47.62947041105963,-122.35993432806126,transit,1013,2278
Space Needle,47.620475865973454,-122.34922662355608,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,driving,492,1836
Space Needle,47.620475865973454,-122.34922662355608,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,walking,1611,1908
Space Needle,47.620475865973454,-122.34922662355608,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,bicycling,513,1922
Space Needle,47.620475865973454,-122.34922662355608,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,transit,935,1977
Space Needle,47.620475865973454,-122.34922662355608,Smith Tower,47.60184879738976,-122.33185426362004,driving,626,2737
Space Needle,47.620475865973454,-122.34922662355608,Smith Tower,47.60184879738976,-122.33185426362004,walking,2284,2745
Space Needle,47.620475865973454,-122.34922662355608,Smith Tower,47.60184879738976,-122.33185426362004,bicycling,838,2775
Space Needle,47.620475865973454,-122.34922662355608,Smith Tower,47.60184879738976,-122.33185426362004,transit,1102,2878
Space Needle,47.620475865973454,-122.34922662355608,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,driving,927,7532
Space Needle,47.620475865973454,-122.34922662355608,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,walking,4706,5265
Space Needle,47.620475865973454,-122.34922662355608,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,bicycling,1946,8371
Space Needle,47.620475865973454,-122.34922662355608,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,transit,2331,5844
Space Needle,47.620475865973454,-122.34922662355608,Volunteer Park,47.63103246682187,-122.31632974461816,driving,985,4420
Space Needle,47.620475865973454,-122.34922662355608,Volunteer Park,47.63103246682187,-122.31632974461816,walking,3559,3818
Space Needle,47.620475865973454,-122.34922662355608,Volunteer Park,47.63103246682187,-122.31632974461816,bicycling,1734,5372
Space Needle,47.620475865973454,-122.34922662355608,Volunteer Park,47.63103246682187,-122.31632974461816,transit,2268,5997
Space Needle,47.620475865973454,-122.34922662355608,Sky View Observatory - Columbia Center,47.604361063516045,-122.33101084091535,driving,654,2792
