origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,duration_sec,distance_m
Pike Place Market,47.60939849082073,-122.3418399195103,Space Needle,47.620475865973454,-122.34922662355608,driving,437,1735
Pike Place Market,47.60939849082073,-122.3418399195103,Space Needle,47.620475865973454,-122.34922662355608,walking,1531,1769
Pike Place Market,47.60939849082073,-122.3418399195103,Space Needle,47.620475865973454,-122.34922662355608,bicycling,673,2329
Pike Place Market,47.60939849082073,-122.3418399195103,Space Needle,47.620475865973454,-122.34922662355608,transit,755,2128
Pike Place Market,47.60939849082073,-122.3418399195103,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving,445,1747
Pike Place Market,47.60939849082073,-122.3418399195103,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking,1482,1706
Pike Place Market,47.60939849082073,-122.3418399195103,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling,671,2296
Pike Place Market,47.60939849082073,-122.3418399195103,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit,788,2167
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Aquarium,47.60738161055215,-122.34296367108706,driving,355,1599
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Aquarium,47.60738161055215,-122.34296367108706,walking,286,297
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Aquarium,47.60738161055215,-122.34296367108706,bicycling,224,898
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Aquarium,47.60738161055215,-122.34296367108706,transit,286,297
Pike Place Market,47.60939849082073,-122.3418399195103,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving,308,1406
Pike Place Market,47.60939849082073,-122.3418399195103,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking,1081,1332
Pike Place Market,47.60939849082073,-122.3418399195103,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling,505,1437
Pike Place Market,47.60939849082073,-122.3418399195103,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit,1147,2402
Pike Place Market,47.60939849082073,-122.3418399195103,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving,579,2083
Pike Place Market,47.60939849082073,-122.3418399195103,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking,1530,1769
Pike Place Market,47.60939849082073,-122.3418399195103,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling,673,2356
Pike Place Market,47.60939849082073,-122.3418399195103,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit,984,1888
Pike Place Market,47.60939849082073,-122.3418399195103,Discovery Park,47.66122637312634,-122.41720530872853,driving,1156,9778
Pike Place Market,47.60939849082073,-122.3418399195103,Discovery Park,47.66122637312634,-122.41720530872853,walking,8105,9570
Pike Place Market,47.60939849082073,-122.3418399195103,Discovery Park,47.66122637312634,-122.41720530872853,bicycling,2331,10064
Pike Place Market,47.60939849082073,-122.3418399195103,Discovery Park,47.66122637312634,-122.41720530872853,transit,3098,11384
Pike Place Market,47.60939849082073,-122.3418399195103,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,driving,228,909
Pike Place Market,47.60939849082073,-122.3418399195103,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,walking,675,839
Pike Place Market,47.60939849082073,-122.3418399195103,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,bicycling,364,957
Pike Place Market,47.60939849082073,-122.3418399195103,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,transit,675,839
Pike Place Market,47.60939849082073,-122.3418399195103,Fremont Troll,47.65105594466806,-122.3475007419148,driving,745,5519
Pike Place Market,47.60939849082073,-122.3418399195103,Fremont Troll,47.65105594466806,-122.3475007419148,walking,4383,5094
Pike Place Market,47.60939849082073,-122.3418399195103,Fremont Troll,47.65105594466806,-122.3475007419148,bicycling,1413,5444
Pike Place Market,47.60939849082073,-122.3418399195103,Fremont Troll,47.65105594466806,-122.3475007419148,transit,1384,5591
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Art Museum,47.60751482550527,-122.3379600261628,driving,274,907
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Art Museum,47.60751482550527,-122.3379600261628,walking,428,512
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Art Museum,47.60751482550527,-122.3379600261628,bicycling,163,418
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Art Museum,47.60751482550527,-122.3379600261628,transit,428,512
Pike Place Market,47.60939849082073,-122.3418399195103,Waterfront Park,47.60703330685766,-122.3418278669016,driving,241,970
Pike Place Market,47.60939849082073,-122.3418399195103,Waterfront Park,47.60703330685766,-122.3418278669016,walking,342,364
Pike Place Market,47.60939849082073,-122.3418399195103,Waterfront Park,47.60703330685766,-122.3418278669016,bicycling,204,769
Pike Place Market,47.60939849082073,-122.3418399195103,Waterfront Park,47.60703330685766,-122.3418278669016,transit,342,364
Pike Place Market,47.60939849082073,-122.3418399195103,Kerry Park,47.62947041105963,-122.35993432806126,driving,650,3162
Pike Place Market,47.60939849082073,-122.3418399195103,Kerry Park,47.62947041105963,-122.35993432806126,walking,2721,2926
Pike Place Market,47.60939849082073,-122.3418399195103,Kerry Park,47.62947041105963,-122.35993432806126,bicycling,1228,3552
Pike Place Market,47.60939849082073,-122.3418399195103,Kerry Park,47.62947041105963,-122.35993432806126,transit,1547,3810
Pike Place Market,47.60939849082073,-122.3418399195103,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,driving,108,286
Pike Place Market,47.60939849082073,-122.3418399195103,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,walking,252,266
Pike Place Market,47.60939849082073,-122.3418399195103,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,bicycling,106,286
Pike Place Market,47.60939849082073,-122.3418399195103,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,transit,252,266
Pike Place Market,47.60939849082073,-122.3418399195103,Smith Tower,47.60184879738976,-122.33185426362004,driving,358,1309
Pike Place Market,47.60939849082073,-122.3418399195103,Smith Tower,47.60184879738976,-122.33185426362004,walking,1080,1288
Pike Place Market,47.60939849082073,-122.3418399195103,Smith Tower,47.60184879738976,-122.33185426362004,bicycling,437,1391
Pike Place Market,47.60939849082073,-122.3418399195103,Smith Tower,47.60184879738976,-122.33185426362004,transit,757,1539
Pike Place Market,47.60939849082073,-122.3418399195103,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,driving,876,8369
