origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,duration_sec,distance_m
Seattle Art Museum,47.60751482550527,-122.3379600261628,Space Needle,47.620475865973454,-122.34922662355608,driving,473,2043
Seattle Art Museum,47.60751482550527,-122.3379600261628,Space Needle,47.620475865973454,-122.34922662355608,walking,1695,1969
Seattle Art Museum,47.60751482550527,-122.3379600261628,Space Needle,47.620475865973454,-122.34922662355608,bicycling,683,1999
Seattle Art Museum,47.60751482550527,-122.3379600261628,Space Needle,47.620475865973454,-122.34922662355608,transit,1041,2222
Seattle Art Museum,47.60751482550527,-122.3379600261628,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,driving,480,2055
Seattle Art Museum,47.60751482550527,-122.3379600261628,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,walking,1646,1906
Seattle Art Museum,47.60751482550527,-122.3379600261628,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,bicycling,681,1983
Seattle Art Museum,47.60751482550527,-122.3379600261628,Chihuly Garden and Glass,47.62054706471586,-122.35046081087614,transit,1054,2014
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Aquarium,47.60738161055215,-122.34296367108706,driving,542,2428
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Aquarium,47.60738161055215,-122.34296367108706,walking,494,556
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Aquarium,47.60738161055215,-122.34296367108706,bicycling,282,1092
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Aquarium,47.60738161055215,-122.34296367108706,transit,494,556
Seattle Art Museum,47.60751482550527,-122.3379600261628,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,driving,479,2234
Seattle Art Museum,47.60751482550527,-122.3379600261628,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,walking,1547,1843
Seattle Art Museum,47.60751482550527,-122.3379600261628,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,bicycling,755,1973
Seattle Art Museum,47.60751482550527,-122.3379600261628,Olympic Sculpture Park,47.616598558883176,-122.35531073027671,transit,1059,2237
Seattle Art Museum,47.60751482550527,-122.3379600261628,Museum of Pop Culture,47.621470125609314,-122.3481282699205,driving,550,2458
Seattle Art Museum,47.60751482550527,-122.3379600261628,Museum of Pop Culture,47.621470125609314,-122.3481282699205,walking,1694,1969
Seattle Art Museum,47.60751482550527,-122.3379600261628,Museum of Pop Culture,47.621470125609314,-122.3481282699205,bicycling,706,2157
Seattle Art Museum,47.60751482550527,-122.3379600261628,Museum of Pop Culture,47.621470125609314,-122.3481282699205,transit,911,2093
Seattle Art Museum,47.60751482550527,-122.3379600261628,Discovery Park,47.66122637312634,-122.41720530872853,driving,1328,10672
Seattle Art Museum,47.60751482550527,-122.3379600261628,Discovery Park,47.66122637312634,-122.41720530872853,walking,8510,9986
Seattle Art Museum,47.60751482550527,-122.3379600261628,Discovery Park,47.66122637312634,-122.41720530872853,bicycling,2581,10600
Seattle Art Museum,47.60751482550527,-122.3379600261628,Discovery Park,47.66122637312634,-122.41720530872853,transit,3674,15294
Seattle Art Museum,47.60751482550527,-122.3379600261628,Pike Place Market,47.60939849082073,-122.3418399195103,driving,231,805
Seattle Art Museum,47.60751482550527,-122.3379600261628,Pike Place Market,47.60939849082073,-122.3418399195103,walking,466,512
Seattle Art Museum,47.60751482550527,-122.3379600261628,Pike Place Market,47.60939849082073,-122.3418399195103,bicycling,279,666
Seattle Art Museum,47.60751482550527,-122.3379600261628,Pike Place Market,47.60939849082073,-122.3418399195103,transit,466,512
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,driving,255,988
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,walking,595,661
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,bicycling,382,918
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Seattle Great Wheel,47.60612088117679,-122.34252171878008,transit,595,661
Seattle Art Museum,47.60751482550527,-122.3379600261628,Fremont Troll,47.65105594466806,-122.3475007419148,driving,743,5884
Seattle Art Museum,47.60751482550527,-122.3379600261628,Fremont Troll,47.65105594466806,-122.3475007419148,walking,4540,5282
Seattle Art Museum,47.60751482550527,-122.3379600261628,Fremont Troll,47.65105594466806,-122.3475007419148,bicycling,1530,5687
Seattle Art Museum,47.60751482550527,-122.3379600261628,Fremont Troll,47.65105594466806,-122.3475007419148,transit,1338,5822
Seattle Art Museum,47.60751482550527,-122.3379600261628,Waterfront Park,47.60703330685766,-122.3418278669016,driving,268,1049
Seattle Art Museum,47.60751482550527,-122.3379600261628,Waterfront Park,47.60703330685766,-122.3418278669016,walking,392,427
Seattle Art Museum,47.60751482550527,-122.3379600261628,Waterfront Park,47.60703330685766,-122.3418278669016,bicycling,262,963
Seattle Art Museum,47.60751482550527,-122.3379600261628,Waterfront Park,47.60703330685766,-122.3418278669016,transit,392,427
Seattle Art Museum,47.60751482550527,-122.3379600261628,Kerry Park,47.62947041105963,-122.35993432806126,driving,780,3884
Seattle Art Museum,47.60751482550527,-122.3379600261628,Kerry Park,47.62947041105963,-122.35993432806126,walking,3120,3425
Seattle Art Museum,47.60751482550527,-122.3379600261628,Kerry Park,47.62947041105963,-122.35993432806126,bicycling,1376,3984
Seattle Art Museum,47.60751482550527,-122.3379600261628,Kerry Park,47.62947041105963,-122.35993432806126,transit,1425,3645
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,driving,181,658
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,walking,320,365
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,bicycling,149,272
Seattle Art Museum,47.60751482550527,-122.3379600261628,The Gum Wall at Unexpected Productions Improv,47.60835761047191,-122.3403386964607,transit,320,365
Seattle Art Museum,47.60751482550527,-122.3379600261628,Smith Tower,47.60184879738976,-122.33185426362004,driving,162,795
Seattle Art Museum,47.60751482550527,-122.3379600261628,Smith Tower,47.60184879738976,-122.33185426362004,walking,652,776
Seattle Art Museum,47.60751482550527,-122.3379600261628,Smith Tower,47.60184879738976,-122.33185426362004,bicycling,316,781
Seattle Art Museum,47.60751482550527,-122.3379600261628,Smith Tower,47.60184879738976,-122.33185426362004,transit,499,1067
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,driving,677,7859
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,walking,4282,4818
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,bicycling,1676,5122
Seattle Art Museum,47.60751482550527,-122.3379600261628,Seattle Japanese Garden,47.62898814360236,-122.29629747947963,transit,1666,4805
Seattle Art Museum,47.60751482550527,-122.3379600261628,Volunteer Park,47.63103246682187,-122.31632974461816,driving,656,5563
Seattle Art Museum,47.60751482550527,-122.3379600261628,Volunteer Park,47.63103246682187,-122.31632974461816,walking,3586,3831
