origin_place,origin_lat,origin_lng,destination_place,destination_lat,destination_lng,mode,duration_sec,distance_m
Space Needle,47.62047587,-122.3492266,Fremont Troll,47.65105594,-122.3475007,driving,476,4413
Space Needle,47.62047587,-122.3492266,Fremont Troll,47.65105594,-122.3475007,bicycling,1064,4514
Space Needle,47.62047587,-122.3492266,Fremont Troll,47.65105594,-122.3475007,transit,1004,4339
Space Needle,47.62047587,-122.3492266,Fremont Troll,47.65105594,-122.3475007,walking,3306,3909
Space Needle,47.62047587,-122.3492266,Smith Tower,47.6018488,-122.3318543,driving,606,2737
Space Needle,47.62047587,-122.3492266,Smith Tower,47.6018488,-122.3318543,bicycling,838,2775
Space Needle,47.62047587,-122.3492266,Smith Tower,47.6018488,-122.3318543,transit,1157,2878
Space Needle,47.62047587,-122.3492266,Smith Tower,47.6018488,-122.3318543,walking,2281,2745
Space Needle,47.62047587,-122.3492266,Volunteer Park,47.63103247,-122.3163297,driving,973,4420
Space Needle,47.62047587,-122.3492266,Volunteer Park,47.63103247,-122.3163297,bicycling,1734,5372
Space Needle,47.62047587,-122.3492266,Volunteer Park,47.63103247,-122.3163297,transit,2249,5773
Space Needle,47.62047587,-122.3492266,Volunteer Park,47.63103247,-122.3163297,walking,3555,3818
Space Needle,47.62047587,-122.3492266,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,driving,646,2792
Space Needle,47.62047587,-122.3492266,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,bicycling,814,2751
Space Needle,47.62047587,-122.3492266,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,transit,1205,2846
Space Needle,47.62047587,-122.3492266,Sky View Observatory - Columbia Center,47.60436106,-122.3310108,walking,2039,2365
Space Needle,47.62047587,-122.3492266,Wing Luke Museum,47.59821381,-122.322921,driving,818,3652
Space Needle,47.62047587,-122.3492266,Wing Luke Museum,47.59821381,-122.322921,bicycling,1143,3691
Space Needle,47.62047587,-122.3492266,Wing Luke Museum,47.59821381,-122.322921,transit,1714,4056
Space Needle,47.62047587,-122.3492266,Wing Luke Museum,47.59821381,-122.322921,walking,3018,3522
