dataset,origin_place,destination_place,origin_lat,origin_lng,destination_lat,destination_lng,mode,distance_m,duration_s
train,Historic Chinatown Gate,Pike Place Market,47.598437167923336,-122.3273775033157,47.60939849082073,-122.3418399195103,driving,2153.0,579.0
train,Historic Chinatown Gate,Pike Place Market,47.598437167923336,-122.3273775033157,47.60939849082073,-122.3418399195103,bicycling,2159.0,707.0
train,Historic Chinatown Gate,Pike Place Market,47.598437167923336,-122.3273775033157,47.60939849082073,-122.3418399195103,transit,2152.0,981.0
train,Historic Chinatown Gate,Pike Place Market,47.598437167923336,-122.3273775033157,47.60939849082073,-122.3418399195103,walking,1877.0,1678.0
train,International Fountain,KidsQuest Children's Museum,47.62250232314546,-122.35208589820942,47.62082747299095,-122.19594728787486,driving,16219.0,1115.0
train,International Fountain,KidsQuest Children's Museum,47.62250232314546,-122.35208589820942,47.62082747299095,-122.19594728787486,bicycling,20286.0,4439.0
train,International Fountain,KidsQuest Children's Museum,47.62250232314546,-122.35208589820942,47.62082747299095,-122.19594728787486,transit,22462.0,3437.0
train,International Fountain,KidsQuest Children's Museum,47.62250232314546,-122.35208589820942,47.62082747299095,-122.19594728787486,walking,16267.0,13759.0
train,Jimi Hendrix Statue,Wilburton Station - light rail station,47.61550301473619,-122.32071505564883,47.61794063638405,-122.18378014228747,driving,17763.0,1118.0
train,Jimi Hendrix Statue,Wilburton Station - light rail station,47.61550301473619,-122.32071505564883,47.61794063638405,-122.18378014228747,bicycling,18293.0,3774.0
train,Jimi Hendrix Statue,Wilburton Station - light rail station,47.61550301473619,-122.32071505564883,47.61794063638405,-122.18378014228747,transit,16511.0,3359.0
train,Jimi Hendrix Statue,Wilburton Station - light rail station,47.61550301473619,-122.32071505564883,47.61794063638405,-122.18378014228747,walking,15618.0,13092.0
train,Seattle Chinese Garden,Symphony Station - light rail station,47.55176640036533,-122.3524959672396,47.607796255776215,-122.33604961270477,driving,9550.0,1044.0
train,Seattle Chinese Garden,Symphony Station - light rail station,47.55176640036533,-122.3524959672396,47.607796255776215,-122.33604961270477,bicycling,8556.0,2129.0
train,Seattle Chinese Garden,Symphony Station - light rail station,47.55176640036533,-122.3524959672396,47.607796255776215,-122.33604961270477,transit,9542.0,1624.0
train,Seattle Chinese Garden,Symphony Station - light rail station,47.55176640036533,-122.3524959672396,47.607796255776215,-122.33604961270477,walking,8711.0,7248.0
train,Mercerdale Park,International Fountain,47.58102302782471,-122.23493686187616,47.62250232314546,-122.35208589820942,driving,14224.0,1152.0
train,Mercerdale Park,International Fountain,47.58102302782471,-122.23493686187616,47.62250232314546,-122.35208589820942,bicycling,12547.0,3274.0
train,Mercerdale Park,International Fountain,47.58102302782471,-122.23493686187616,47.62250232314546,-122.35208589820942,transit,12694.0,3286.0
train,Mercerdale Park,International Fountain,47.58102302782471,-122.23493686187616,47.62250232314546,-122.35208589820942,walking,12203.0,10267.0
